📺央视频道,#genre#
CCTV-13,http://183.66.15.138:4070/rtp/235.254.198.9:1312
CCTV-13,http://112.255.69.58:6666/rtp/239.253.254.175:8000
CCTV-13,http://49.79.3.119:8890/rtp/239.49.9.43:6000
CCTV-13,http://117.86.49.151:7777/rtp/239.49.9.43:6000
CCTV-13,http://117.86.50.46:7777/rtp/239.49.9.43:6000
CCTV-14,http://114.95.156.205:4022/rtp/239.45.3.23:5140
CCTV-14,http://123.157.31.182:7912/rtp/233.50.201.124:5140
CCTV-14,http://114.252.236.205:8000/rtp/239.3.1.65:8132
CCTV-14,http://114.240.224.31:3000/rtp/239.3.1.65:8132
CCTV-14,http://114.253.57.101:10000/rtp/239.3.1.65:8132
CCTV-14,http://112.255.69.58:6666/rtp/239.253.254.236:8000
CCTV-14,http://49.79.3.119:8890/rtp/239.49.8.136:6000
CCTV-14,http://117.86.49.151:7777/rtp/239.49.8.136:6000
CCTV-14,http://117.86.50.46:7777/rtp/239.49.8.136:6000
CCTV-14,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://114.95.156.205:4022/rtp/239.45.1.200:5140
CCTV-15,http://123.157.31.182:7912/rtp/233.50.201.15:5140
CCTV-15,http://114.252.236.205:8000/rtp/239.3.1.153:8136
CCTV-15,http://114.240.224.31:3000/rtp/239.3.1.153:8136
CCTV-15,http://114.253.57.101:10000/rtp/239.3.1.153:8136
CCTV-15,http://183.66.15.138:4070/rtp/235.254.198.11:1320
CCTV-15,http://112.255.69.58:6666/rtp/239.253.254.170:8000
CCTV-15,http://49.79.3.119:8890/rtp/239.49.1.15:6000
CCTV-15,http://117.86.49.151:7777/rtp/239.49.1.15:6000
CCTV-15,http://117.86.50.46:7777/rtp/239.49.1.15:6000
CCTV-16,http://123.157.31.182:7912/rtp/233.50.201.192:5140
CCTV-16,http://114.252.236.205:8000/rtp/239.3.1.183:8001
CCTV-16,http://114.240.224.31:3000/rtp/239.3.1.183:8001
CCTV-16,http://114.253.57.101:10000/rtp/239.3.1.183:8001
CCTV-16,http://139.129.231.228:50060/rtp/239.21.2.51:5002
CCTV-16,http://120.55.49.231:3095/rtp/233.50.201.192:5140
CCTV-16,http://183.191.227.128:8083/rtp/226.0.2.169:9264
CCTV-16,http://14.112.86.85:4022/rtp/239.77.1.76:5146
CCTV-17,http://123.157.31.182:7912/rtp/233.50.201.35:5140
CCTV-17,http://114.252.236.205:8000/rtp/239.3.1.151:8144
CCTV-17,http://114.240.224.31:3000/rtp/239.3.1.151:8144
CCTV-17,http://114.253.57.101:10000/rtp/239.3.1.151:8144
CCTV-17,http://112.255.69.58:6666/rtp/239.253.254.168:8000
CCTV-17,http://49.79.3.119:8890/rtp/239.49.1.7:6000
CCTV-17,http://117.86.49.151:7777/rtp/239.49.1.7:6000
CCTV-17,http://117.86.50.46:7777/rtp/239.49.1.7:6000
CCTV-17,http://121.238.91.151:8888/rtp/239.49.1.7:6000
CCTV-17,http://139.129.231.228:50060/rtp/239.21.1.186:5002
CETV1,http://114.252.236.205:8000/rtp/239.3.1.57:8152
CETV1,http://114.240.224.31:3000/rtp/239.3.1.57:8152
CETV1,http://114.253.57.101:10000/rtp/239.3.1.57:8152
CETV1,http://112.255.69.58:6666/rtp/239.253.254.110:8000
CETV1,http://139.129.231.228:50060/rtp/239.21.2.7:5002
CETV1,http://120.55.49.231:3095/rtp/233.50.201.75:5140
CETV1,http://183.191.227.128:8083/rtp/226.0.2.181:9360
CETV2,http://114.252.236.205:8000/rtp/239.3.1.54:4120
CETV2,http://114.240.224.31:3000/rtp/239.3.1.54:4120
CETV2,http://114.253.57.101:10000/rtp/239.3.1.54:4120
CETV2,http://139.129.231.228:50060/rtp/239.21.2.8:5002
CETV2,http://183.191.227.128:8083/rtp/226.0.2.69:8464
CETV2,http://60.2.190.206:4000/rtp/239.253.92.108:6136
CETV4,http://114.252.236.205:8000/rtp/239.3.1.56:4120
CETV4,http://114.240.224.31:3000/rtp/239.3.1.56:4120
CETV4,http://114.253.57.101:10000/rtp/239.3.1.56:4120
CETV4,http://112.255.69.58:6666/rtp/239.253.254.116:8000
CETV4,http://139.129.231.228:50060/rtp/239.21.1.222:5002
CETV4,http://120.55.49.231:3095/rtp/233.50.200.162:5140
CETV4,http://183.191.227.128:8083/rtp/226.0.2.70:8472
CETV4,http://60.2.190.206:4000/rtp/239.253.92.200:6137

💰央视付费频道,#genre#
文化精品,http://49.79.3.119:8890/rtp/239.49.9.11:6000
文化精品,http://117.86.49.151:7777/rtp/239.49.9.11:6000
文化精品,http://117.86.50.46:7777/rtp/239.49.9.11:6000
文化精品,http://121.238.91.151:8888/rtp/239.49.9.11:6000
文化精品,http://60.2.190.206:4000/rtp/239.253.93.175:6439
央视台球,http://183.66.15.138:4070/rtp/235.254.198.92:1644
央视台球,http://49.79.3.119:8890/rtp/239.49.9.22:6000
央视台球,http://117.86.49.151:7777/rtp/239.49.9.22:6000
央视台球,http://117.86.50.46:7777/rtp/239.49.9.22:6000
央视台球,http://121.238.91.151:8888/rtp/239.49.9.22:6000
央视台球,http://60.2.190.206:4000/rtp/239.253.93.231:6409
风云音乐,http://49.79.3.119:8890/rtp/239.49.9.13:6000
风云音乐,http://117.86.49.151:7777/rtp/239.49.9.13:6000
风云音乐,http://117.86.50.46:7777/rtp/239.49.9.13:6000
风云音乐,http://121.238.91.151:8888/rtp/239.49.9.13:6000
风云音乐,http://60.2.190.206:4000/rtp/239.253.92.111:8060
第一剧场,http://49.79.3.119:8890/rtp/239.49.1.226:6000
第一剧场,http://117.86.49.151:7777/rtp/239.49.1.226:6000
第一剧场,http://117.86.50.46:7777/rtp/239.49.1.226:6000
第一剧场,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://121.238.91.151:8888/rtp/239.49.1.226:6000
第一剧场,http://60.2.190.206:4000/rtp/239.253.93.138:6428
风云剧场,http://49.79.3.119:8890/rtp/239.49.9.10:6000
风云剧场,http://117.86.49.151:7777/rtp/239.49.9.10:6000
风云剧场,http://117.86.50.46:7777/rtp/239.49.9.10:6000
风云剧场,http://121.238.91.151:8888/rtp/239.49.9.10:6000
风云剧场,http://60.2.190.206:4000/rtp/239.253.93.251:6429
怀旧剧场,http://49.79.3.119:8890/rtp/239.49.9.12:6000
怀旧剧场,http://117.86.49.151:7777/rtp/239.49.9.12:6000
怀旧剧场,http://117.86.50.46:7777/rtp/239.49.9.12:6000
怀旧剧场,http://121.238.91.151:8888/rtp/239.49.9.12:6000
怀旧剧场,http://60.2.190.206:4000/rtp/239.253.93.252:6430
女性时尚,http://49.79.3.119:8890/rtp/239.49.9.14:6000
女性时尚,http://117.86.49.151:7777/rtp/239.49.9.14:6000
女性时尚,http://117.86.50.46:7777/rtp/239.49.9.14:6000
女性时尚,http://121.238.91.151:8888/rtp/239.49.9.14:6000
女性时尚,http://60.2.190.206:4000/rtp/239.253.92.249:6103
高尔夫网球,http://60.2.190.206:4000/rtp/239.253.92.117:8062
风云足球,http://49.79.3.119:8890/rtp/239.49.1.61:6000
风云足球,http://117.86.49.151:7777/rtp/239.49.1.61:6000
风云足球,http://117.86.50.46:7777/rtp/239.49.1.61:6000
风云足球,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://121.238.91.151:8888/rtp/239.49.1.61:6000
风云足球,http://60.2.190.206:4000/rtp/239.253.92.110:8061
电视指南,http://49.79.3.119:8890/rtp/239.49.1.60:6000
电视指南,http://117.86.49.151:7777/rtp/239.49.1.60:6000
电视指南,http://117.86.50.46:7777/rtp/239.49.1.60:6000
电视指南,http://121.238.91.151:8888/rtp/239.49.1.60:6000
电视指南,http://60.2.190.206:4000/rtp/239.253.93.249:6427
世界地理,http://49.79.3.119:8890/rtp/239.49.1.63:6000
世界地理,http://117.86.49.151:7777/rtp/239.49.1.63:6000
世界地理,http://117.86.50.46:7777/rtp/239.49.1.63:6000
世界地理,http://121.238.91.151:8888/rtp/239.49.1.63:6000
世界地理,http://60.2.190.206:4000/rtp/239.253.92.113:8066
兵器科技,http://49.79.3.119:8890/rtp/239.49.1.64:6000
兵器科技,http://117.86.49.151:7777/rtp/239.49.1.64:6000
兵器科技,http://117.86.50.46:7777/rtp/239.49.1.64:6000
兵器科技,http://121.238.91.151:8888/rtp/239.49.1.64:6000
兵器科技,http://60.2.190.206:4000/rtp/239.253.92.119:8065

📡卫视频道,#genre#
广东卫视,http://114.95.156.205:4022/rtp/239.45.3.230:5140
广东卫视,http://123.157.31.182:7912/rtp/233.50.201.102:5140
广东卫视,http://114.252.236.205:8000/rtp/239.3.1.142:8048
广东卫视,http://114.240.224.31:3000/rtp/239.3.1.142:8048
广东卫视,http://114.253.57.101:10000/rtp/239.3.1.142:8048
广东卫视,http://183.66.15.138:4070/rtp/235.254.196.204:1088
广东卫视,http://112.255.69.58:6666/rtp/239.253.254.90:8000
广东卫视,http://49.79.3.119:8890/rtp/239.49.8.143:6000
广东卫视,http://117.86.49.151:7777/rtp/239.49.8.143:6000
广东卫视,http://117.86.50.46:7777/rtp/239.49.8.143:6000
浙江卫视,http://114.95.156.205:4022/rtp/239.45.3.178:5140
浙江卫视,http://123.157.31.182:7912/rtp/233.50.201.100:5140
浙江卫视,http://114.252.236.205:8000/rtp/239.3.1.137:8036
浙江卫视,http://114.240.224.31:3000/rtp/239.3.1.137:8036
浙江卫视,http://114.253.57.101:10000/rtp/239.3.1.137:8036
浙江卫视,http://183.66.15.138:4070/rtp/235.254.198.18:1348
浙江卫视,http://112.255.69.58:6666/rtp/239.253.254.84:8000
浙江卫视,http://49.79.3.119:8890/rtp/239.49.8.139:6000
浙江卫视,http://117.86.49.151:7777/rtp/239.49.8.139:6000
浙江卫视,http://117.86.50.46:7777/rtp/239.49.8.139:6000
湖南卫视,http://114.95.156.205:4022/rtp/239.45.3.228:5140
湖南卫视,http://123.157.31.182:7912/rtp/233.50.201.103:5140
湖南卫视,http://114.252.236.205:8000/rtp/239.3.1.132:8012
湖南卫视,http://114.240.224.31:3000/rtp/239.3.1.132:8012
湖南卫视,http://114.253.57.101:10000/rtp/239.3.1.132:8012
湖南卫视,http://183.66.15.138:4070/rtp/235.254.198.17:1344
湖南卫视,http://112.255.69.58:6666/rtp/239.253.254.82:8000
湖南卫视,http://49.79.3.119:8890/rtp/239.49.8.142:6000
湖南卫视,http://117.86.49.151:7777/rtp/239.49.8.142:6000
湖南卫视,http://117.86.50.46:7777/rtp/239.49.8.142:6000
北京卫视,http://114.95.156.205:4022/rtp/239.45.3.229:5140
北京卫视,http://123.157.31.182:7912/rtp/233.50.201.107:5140
北京卫视,http://183.66.15.138:4070/rtp/235.254.198.21:1360
北京卫视,http://112.255.69.58:6666/rtp/239.253.254.85:8000
北京卫视,http://49.79.3.119:8890/rtp/239.49.8.141:6000
北京卫视,http://117.86.49.151:7777/rtp/239.49.8.141:6000
北京卫视,http://117.86.50.46:7777/rtp/239.49.8.141:6000
北京卫视,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://121.238.91.151:8888/rtp/239.49.8.141:6000
北京卫视,http://139.129.231.228:50060/rtp/239.21.1.88:5002
湖北卫视,http://114.95.156.205:4022/rtp/239.45.3.239:5140
湖北卫视,http://123.157.31.182:7912/rtp/233.50.201.114:5140
湖北卫视,http://114.252.236.205:8000/rtp/239.3.1.138:8044
湖北卫视,http://114.240.224.31:3000/rtp/239.3.1.138:8044
湖北卫视,http://114.253.57.101:10000/rtp/239.3.1.138:8044
湖北卫视,http://183.66.15.138:4070/rtp/235.254.198.72:1564
湖北卫视,http://112.255.69.58:6666/rtp/239.253.254.88:8000
湖北卫视,http://49.79.3.119:8890/rtp/239.49.8.147:6000
湖北卫视,http://117.86.49.151:7777/rtp/239.49.8.147:6000
湖北卫视,http://117.86.50.46:7777/rtp/239.49.8.147:6000
黑龙江卫视,http://114.95.156.205:4022/rtp/239.45.3.232:5140
